WES8617,Average=None,QualityFlag=FALSE,QualityValue=FALSE
DateTime,MP1\QFINAL,MP1\QCONTINUITY,MP1\QUANTITY
MM/dd/yyyy h:mm:ss tt,MGD,MGD,MGD
06/12/2024 12:00:00 AM,2.041029807,2.041029807,2.041029807
06/12/2024 01:00:00 AM,1.807167383,1.807167383,1.807167383
06/12/2024 02:00:00 AM,1.489643455,1.489643455,1.489643455
06/12/2024 03:00:00 AM,1.433339304,1.433339304,1.433339304
06/12/2024 04:00:00 AM,1.443971727,1.443971727,1.443971727
06/12/2024 05:00:00 AM,1.524180185,1.524180185,1.524180185
06/12/2024 06:00:00 AM,1.98645035,1.98645035,1.98645035
06/12/2024 07:00:00 AM,2.411816003,2.411816003,2.411816003
06/12/2024 08:00:00 AM,2.890125666,2.890125666,2.890125666
06/12/2024 09:00:00 AM,2.857093617,2.857093617,2.857093617
06/12/2024 10:00:00 AM,3.142832808,3.142832808,3.142832808
06/12/2024 11:00:00 AM,3.215688056,3.215688056,3.215688056
06/12/2024 12:00:00 PM,3.259134865,3.259134865,3.259134865
06/12/2024 01:00:00 PM,3.16526743,3.16526743,3.16526743
06/12/2024 02:00:00 PM,3.145034785,3.145034785,3.145034785
06/12/2024 03:00:00 PM,3.165511787,3.165511787,3.165511787
06/12/2024 04:00:00 PM,2.922644946,2.922644946,2.922644946
06/12/2024 05:00:00 PM,3.22366326,3.22366326,3.22366326
06/12/2024 06:00:00 PM,3.147027198,3.147027198,3.147027198
06/12/2024 07:00:00 PM,3.487975148,3.487975148,3.487975148
06/12/2024 08:00:00 PM,3.360025828,3.360025828,3.360025828
06/12/2024 09:00:00 PM,3.490145229,3.490145229,3.490145229
06/12/2024 10:00:00 PM,3.07660393,3.07660393,3.07660393
06/12/2024 11:00:00 PM,2.8013342,2.8013342,2.8013342
06/13/2024 12:00:00 AM,2.034795992,2.034795992,2.034795992
06/13/2024 01:00:00 AM,1.777596018,1.777596018,1.777596018
06/13/2024 02:00:00 AM,1.442797703,1.442797703,1.442797703
06/13/2024 03:00:00 AM,1.376091208,1.376091208,1.376091208
06/13/2024 04:00:00 AM,1.400293672,1.400293672,1.400293672
06/13/2024 05:00:00 AM,1.502605218,1.502605218,1.502605218
06/13/2024 06:00:00 AM,2.067666924,2.067666924,2.067666924
06/13/2024 07:00:00 AM,2.490866469,2.490866469,2.490866469
06/13/2024 08:00:00 AM,2.772408053,2.772408053,2.772408053
06/13/2024 09:00:00 AM,2.853139591,2.853139591,2.853139591
06/13/2024 10:00:00 AM,3.046138999,3.046138999,3.046138999
06/13/2024 11:00:00 AM,2.975947609,2.975947609,2.975947609
06/13/2024 12:00:00 PM,3.243375662,3.243375662,3.243375662
06/13/2024 01:00:00 PM,3.081070297,3.081070297,3.081070297
06/13/2024 02:00:00 PM,3.247089084,3.247089084,3.247089084
06/13/2024 03:00:00 PM,3.049706619,3.049706619,3.049706619
06/13/2024 04:00:00 PM,3.035836013,3.035836013,3.035836013
06/13/2024 05:00:00 PM,3.280800409,3.280800409,3.280800409
06/13/2024 06:00:00 PM,3.24742922,3.24742922,3.24742922
06/13/2024 07:00:00 PM,3.398841642,3.398841642,3.398841642
06/13/2024 08:00:00 PM,3.52531439,3.52531439,3.52531439
06/13/2024 09:00:00 PM,3.352338682,3.352338682,3.352338682
06/13/2024 10:00:00 PM,3.181239119,3.181239119,3.181239119
06/13/2024 11:00:00 PM,2.897881321,2.897881321,2.897881321
06/14/2024 12:00:00 AM,2.174351918,2.174351918,2.174351918
06/14/2024 01:00:00 AM,1.814808869,1.814808869,1.814808869
06/14/2024 02:00:00 AM,1.556412971,1.556412971,1.556412971
06/14/2024 03:00:00 AM,1.468006088,1.468006088,1.468006088
06/14/2024 04:00:00 AM,1.412554621,1.412554621,1.412554621
06/14/2024 05:00:00 AM,1.525867155,1.525867155,1.525867155
06/14/2024 06:00:00 AM,2.020417342,2.020417342,2.020417342
06/14/2024 07:00:00 AM,2.576972493,2.576972493,2.576972493
06/14/2024 08:00:00 AM,2.726057602,2.726057602,2.726057602
06/14/2024 09:00:00 AM,2.938881757,2.938881757,2.938881757
06/14/2024 10:00:00 AM,3.010488758,3.010488758,3.010488758
06/14/2024 11:00:00 AM,3.25985728,3.25985728,3.25985728
06/14/2024 12:00:00 PM,3.174305741,3.174305741,3.174305741
06/14/2024 01:00:00 PM,3.244470325,3.244470325,3.244470325
06/14/2024 02:00:00 PM,3.265538841,3.265538841,3.265538841
06/14/2024 03:00:00 PM,3.1744542,3.1744542,3.1744542
06/14/2024 04:00:00 PM,3.033213159,3.033213159,3.033213159
06/14/2024 05:00:00 PM,3.334864615,3.334864615,3.334864615
06/14/2024 06:00:00 PM,3.295796119,3.295796119,3.295796119
06/14/2024 07:00:00 PM,3.306055999,3.306055999,3.306055999
06/14/2024 08:00:00 PM,3.291512723,3.291512723,3.291512723
06/14/2024 09:00:00 PM,3.23139913,3.23139913,3.23139913
06/14/2024 10:00:00 PM,3.242589576,3.242589576,3.242589576
06/14/2024 11:00:00 PM,2.898212293,2.898212293,2.898212293
06/15/2024 12:00:00 AM,2.343055876,2.343055876,2.343055876
06/15/2024 01:00:00 AM,1.886263813,1.886263813,1.886263813
06/15/2024 02:00:00 AM,1.602414932,1.602414932,1.602414932
06/15/2024 03:00:00 AM,1.395965422,1.395965422,1.395965422
06/15/2024 04:00:00 AM,1.333236548,1.333236548,1.333236548
06/15/2024 05:00:00 AM,1.525612719,1.525612719,1.525612719
06/15/2024 06:00:00 AM,1.514052978,1.514052978,1.514052978
06/15/2024 07:00:00 AM,2.117599077,2.117599077,2.117599077
06/15/2024 08:00:00 AM,2.480882465,2.480882465,2.480882465
06/15/2024 09:00:00 AM,2.94573761,2.94573761,2.94573761
06/15/2024 10:00:00 AM,3.257446049,3.257446049,3.257446049
06/15/2024 11:00:00 AM,3.207413831,3.207413831,3.207413831
06/15/2024 12:00:00 PM,3.308673402,3.308673402,3.308673402
06/15/2024 01:00:00 PM,3.315900055,3.315900055,3.315900055
06/15/2024 02:00:00 PM,3.179890899,3.179890899,3.179890899
06/15/2024 03:00:00 PM,3.112103918,3.112103918,3.112103918
06/15/2024 04:00:00 PM,3.16113431,3.16113431,3.16113431
06/15/2024 05:00:00 PM,3.148575475,3.148575475,3.148575475
06/15/2024 06:00:00 PM,3.090287769,3.090287769,3.090287769
06/15/2024 07:00:00 PM,3.200826584,3.200826584,3.200826584
06/15/2024 08:00:00 PM,3.157994896,3.157994896,3.157994896
06/15/2024 09:00:00 PM,3.26515622,3.26515622,3.26515622
06/15/2024 10:00:00 PM,3.064528566,3.064528566,3.064528566
