"CMMS_ASSET_ID","STREET_NAME","STREET_NUMBER","PI_TAG"
"LS-002867","WESTERN WAY","8617","WWL:SOUTH:WES8617B"
"LS-004352","DURBANS POINT PL","12512","WWL:NORTH:DUR12512"
"LS-004358","REFLECTIONS AVE","86","WWL:STJOHNS:REF86"
"LS-004370","JUNIPER HILLS DR","658","WWL:STJOHNS:JUN658"
"LS-004384","GRAND LAKES DR","157","WWL:STJOHNS:GRA157"
"LS-004391","BRADDOCK LAKES DR","6808",NA
"LS-004393","ANGELS LANDING CT","15964",NA
"LS-004399","SPOTTED SEA DR","10076","WWL:STJOHNS:SPO10076"
"LS-004400","BUSTO CIR","7094","WWL:WEST:BUS7094"
"LS-004349","DRIFTWOOD CT","75425","WWL:NASSAU:DRI75425"
"LS-004355","BLACKROCK COVE WAY","96736","WWL:NASSAU:BLA96736"
"LS-001791","PONTE VEDRA BLVD","216","WWL:STJOHNS:PON216"
"LS-004359","STILLPOINT WAY","96382","WWL:NASSAU:STI96382"
"LS-004373","DEL WEBB PKWY","1013","WWL:NASSAU:DEL1013"
"LS-004409","SCENIC BRUSH LN","15750",NA
"LS-000719","DETAILLE DR","4735","WWL:NORTH:DET4735"
"LS-001196","KINGSTON DR","226",NA
"LS-001184","KERNAN BLVD N","102","WWL:EAST:KER102-1"
"LS-003892","FOOTBRIDGE RD","219",NA
"LS-003888","MAIN ST N","10733",NA
"LS-004087","GREENLAND ENERGY CENTER DR ","6850",NA
"LS-004149","TOWN VIEW DR","11178","WWL:SOUTH:TOW11178"
"LS-004224","WABASH BLVD","5343","WWL:WEST:WAB5343"
"LS-004301","GRETA CT","5812","WWL:NORTH:GRE5812"
"LS-004347","WIND ROW DR","14101","WWL:STJOHNS:WIN14101"
"LS-004366","LILIAS CIR","8574","WWL:WEST:LIL8574"
"LS-004368","CAIDEN DR","750","WWL:STJOHNS:CAI750"
"LS-004378","ELMO LN","8699","WWL:WEST:ELM8699"
"LS-004394","RACE TRACK RD","4636","WWL:STJOHNS:RAC4636"
"LS-004330","BARREN WAY","123",NA
"LS-004379","LINGER LONGER AVE","504","WWL:NASSAU:LIN504"
"LS-004406","SANDY BLUFF LA","686",NA
"LS-004408","EVER RANGE PKWY","12297","WWL:STJOHNS:EVE12297"
"LS-001789","POMPANO DR","5838","WWL:EAST:POM5838"
"LS-004410","ELIZABETH LN","145",NA
"LS-000160","ATLANTIC BLVD","12570","WWL:EAST:ATL12570"
"LS-001788","POINT PARK DR","12621","WWL:EAST:POI12621"
"LS-000432","BLUE EAGLE WAY","12668","WWL:EAST:BLU12668"
"LS-001437","MEADOWSWEET LN","12785","WWL:EAST:MEA12785"
"LS-001973","SAN JOSE BLVD","5000","WWL:EAST:SAN5000"
"LS-001688","PATSY ANNE DR","2450","WWL:EAST:PAT2450"
"LS-001867","RICHARD ST","4903","WWL:EAST:RIC4903"
"LS-001941","SALISBURY RD","6903","WWL:SOUTH:SAL6903"
"LS-002088","SOUTHBROOK DR","9586","WWL:SOUTH:SOU9586"
"LS-001087","HILSDALE RD","8051","WWL:SOUTH:HIL8051"
