Asset ID,Location Address,JEA GIS Object ID,Sewer Maintenance District,County,Best Estimate of Install Date of Station,Year of Install,Electrical Supplier,"JEA Actual ADF
(GPD)","JEA Design PHF
(GPM)"
BPS-000639,2740 CR 210,205269,St Johns Grid,St Johns,11/2/16,2016,JEA,"2,861,084","7,000"
BPS-001645,4193 OLDFIELD CROSSING,1729,South Grid,Duval,1/20/17,2017,JEA,"2,714,538","9,370"
BPS-001950,4241 SAN CLERC,16966,South Grid,Duval,8/22/12,2012,JEA,"932,000","3,040"
BPS-002867,8617 WESTERN WAY,204646,South Grid,Duval,6/30/05,2005,JEA,"2,827,541","5,000"
BPS-003387,106 TWIN CREEKS Dr,55153,St Johns Grid,Duval,12/4/07,2007,JEA,"2,481,328","4,400"
BPS-004153,6850 Energy Center Drive,256468,South Grid,Duval,6/19/19,2019,JEA,"166,464","1,200"
BPS-004187,7806 RAMPART RD,277052,West Grid,Duval,1/1/21,2021,JEA,"2,297,938","5,000"
BPS-004228,10477 BRADLEY RD BOOSTER,1329,East Grid,Duval,5/3/21,2021,JEA,"12,497,059","19,500"
BPS-004296,3742 ROBENA ROAD,315233,North Grid,Duval,6/1/23,2023,JEA,0,0
BPS-004333,85008 ART WILSON LN,354434,Nassau Grid,Nassau,2/28/24,2024,FPL,0,0
LS-000001,12770 1ST ST,1907,North Grid,Duval,1/1/70,1970,JEA,"3,800",392
LS-000002,2580 1ST ST W,54481,North Grid,Duval,1/1/50,1950,JEA,772,179
LS-000004,1999 30TH ST W,1983,North Grid,Duval,1/1/97,1997,JEA,"16,898",139
LS-000005,94 32ND ST E,1298,North Grid,Duval,1/1/95,1995,JEA,"1,014,995","2,500"
LS-000006,1870 41ST ST W,1804,North Grid,Duval,1/1/88,1988,JEA,"111,175","1,500"
LS-000007,1646 45TH ST W,54482,North Grid,Duval,1/1/60,1960,JEA,"37,275",416
LS-000013,2809 5TH ST W,1941,North Grid,Duval,1/1/58,1958,JEA,"1,852,554","10,000"
LS-000014,5233 5TH ST W,1940,West Grid,Duval,1/1/54,1954,JEA,"510,479","1,250"
LS-000017,239 68TH ST W,1534,North Grid,Duval,1/1/80,1980,JEA,"6,053",162
LS-000018,7200 AC SKINNER PY,1710,South Grid,Duval,1/1/83,1983,JEA,"1,224,444","3,770"
LS-000019,5640 101ST ST,1252,West Grid,Duval,1/1/50,1950,JEA,"24,965",88
LS-000023,MAGNOLIA VALLEY DR. 5097,85617,West Grid,Duval,12/15/09,2009,JEA,"8,526",335
LS-000026,6650 103RD ST,26881,West Grid,Duval,2/23/90,1990,JEA,"5,873",165
LS-000033,7960 103RD ST,1286,West Grid,Duval,1/1/87,1987,JEA,"44,507",124
LS-000034,9380 103RD ST,1656,West Grid,Duval,1/1/01,2001,JEA,"17,857",58
LS-000039,9902 103RD ST,1655,West Grid,Duval,1/1/94,1994,JEA,"78,099",796
LS-000045,5104 118TH ST,1256,West Grid,Duval,1/1/72,1972,JEA,"10,595,000","15,000"
LS-000047,5823 118TH ST,12161,West Grid,Duval,8/13/03,2003,JEA,"156,741",401
LS-000048,8350 118TH ST,1562,West Grid,Duval,10/8/99,1999,JEA,"43,396",251
LS-000057,3215 ABBEYFIELD LN,1139,East Grid,Duval,1/1/80,1980,JEA,"147,422",432
LS-000058,5180 ABEL LN,1490,West Grid,Duval,3/30/73,1973,JEA,"19,641",323
LS-000060,12733 ABESS BV,1826,East Grid,Duval,1/1/87,1987,JEA,"2,713,621","8,000"
LS-000063,8752 ACANTHUS DR,1564,West Grid,Duval,1/1/70,1970,JEA,"264,042",800
LS-000067,11933 ACOSTA RD,1968,South Grid,Duval,1/1/80,1980,JEA,"10,740",360
LS-000069,505 ADDOR LN,1369,West Grid,Duval,7/28/92,1992,JEA,"1,533",219
LS-000070,9374 ADELAID DR,2241,West Grid,Duval,8/14/01,2001,JEA,"103,743",399
LS-000071,2844 ADELE RD,2012,South Grid,Duval,1/1/80,1980,JEA,"11,033",34
LS-000073,13650 AEROSPACE WAY,89458,West Grid,Duval,1/1/85,1985,JEA,"6,798",74
LS-000074,125 AFTON LN,1963,St Johns Grid,Duval,9/1/98,1998,JEA,"32,722",164
LS-000075,10150 AGAVE RD,1631,East Grid,Duval,1/1/80,1980,JEA,"510,516","2,303"
LS-000076,10398 AGAVE RD,1741,East Grid,Duval,1/1/70,1970,JEA,"26,656",123
LS-000080,AIRPORT STATION A RAMP,29846,North Grid,Duval,11/8/06,2006,JEA,"22,978",75
LS-000081,7039 ALACHUA AV,1986,West Grid,Duval,1/1/81,1981,JEA,"1,799,391","6,500"
