CMMS_ASSET_ID,STREET_NAME,STREET_NUMBER,PI_TAG
LS-001695,PECAN PARK RD,14201,WWL:NORTH:PEC14201
LS-001694,PECAN PARK RD,14063,WWL:NORTH:PEC14063
LS-000851,ETHEL RD,16536,WWL:NORTH:ETH16536
LS-000731,DIXIE CLIPPER RD,2101,WWL:NORTH:DIX2101
LS-001696,PECAN PARK RD,14300,WWL:NORTH:PEC14300
LS-001697,PECAN PARK RD,606,WWL:NORTH:PEC606
LS-002905,LEXINGTON PARK BV,15648,WWL:NORTH:LEX15648
LS-000724,DIGBY LA,6671,WWL:NORTH:DIG6671
LS-000080,KITTY HAWK RD,2491,WWL:NORTH:AIRA
LS-000598,COLE FLYER RD,2111,WWL:NORTH:COL2111
LS-000224,BAINEBRIDGE DR,15807,WWL:NORTH:BAI15807
LS-000225,BAINEBRIDGE DR,15854,WWL:NORTH:BAI15854
LS-000231,BARNSTORMER RD,2158,WWL:NORTH:BAR2158
LS-002376,SANDLE DR,6794,WWL:NORTH:SAN6794
LS-004121,OWENS RD,1820,NONE
LS-004288,RUSSIAN OLIVE RD,12488,WWL:NORTH:RUS12488
LS-004324,MYRTLE OAK RD,6811,WWL:NORTH:MYR6811
LS-004329,PERCY CREEK DR,12607,WWL:NORTH:PER12607
LS-004343,GOLD STAR FAMILY PY,1757,WWL:NORTH:GOL1757
LS-004354,EPPLY DR,14293,NA
LS-004362,HEMLOCK ST,4351,NA
