ENABLED,FAC_OWNER,FAC_STATE,PIPE_CLASS,PIPE_MATERIAL,PIPE_MATERIAL_ABV,LINING_MATERIAL,MEASURED_LENGTH,PLACED_BY,MODIFIED_BY,DATE_PLACED,DATE_MODIFIED,DATE_INSTALLED,DATE_BURSTED,DATE_LINED,DATA_SOURCE,SUBTYPE,DS_PIPE_INVERT_ELEVATION,US_PIPE_INVERT_ELEVATION,SLOPE,HYPERLINK_PRIMARY,DATE_CCTV,PACP_SCORE,DATE_CLEANED,CMMS_ASSET_ID,RELATED_PLANT,CAPITAL_PROJECT_NUMBER,REHAB_HYPERLINK,WBID_NUMBER,WBID_NAME,FACILITY_STATE_NOTES,HYPERLINK_SECONDARY,HYPERLINK_MAINTENANCE,CLEANING_METHOD,CCTV_HYPERLINK,FORCE_MAIN_RUN,FM_MANIFOLD_SYS,GLOBALID,MANUFACTURER,CALC_LENGTH,AVAIL_NUM,PIPE_SIZE,CF_AS_BUILT,CF_MATERIAL,CF_DATE_INSTALLED,CF_LINING_MATERIAL,CF_SIZE,CF_DS_ELEVATION,CF_SLOPE,CF_US_ELEVATION,LINING_MANUFACTURER,DS_GRADE_ELEVATION_INVERT,ORIENTATION,US_GRADE_ELEVATION_INVERT,EQUIPMENT_ID,EQUIPMENT_ID_DESCRIPTION,EQUIPMENT_CONTAINER,RECEIVING_STATION,UPSTREAM_MANHOLE,DOWNSTREAM_MANHOLE,GIS_OID,SHAPE_Length
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,233,gamaaw,gamaaw,2022-12-21T00:00:00Z,2022-12-21T00:00:00Z,2022-05-01T00:00:00Z,NA,NA,86586-619,1,21.02,21.95,0.4,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\86000_86999\86586-619.pdf,NA,NA,NA,NA,WW-005,-999,NA,2130,PLUMMER CREEK,NA,NA,NA,NA,NA,NA,NA,{F1972EF9-D30A-4E2E-A5BB-BCA47797B304},Unknown,234.11362817,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,25.76,UG,27.63,NA,NA,NA,NA,NA,NA,1538079,234.11362817375357
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,313,gamaaw,gamaaw,2022-12-21T00:00:00Z,2022-12-21T00:00:00Z,2022-05-01T00:00:00Z,NA,NA,86586-619,1,19.77,21.02,0.4,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\86000_86999\86586-619.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{9016CDB8-178E-449F-9542-C2E57AB5CE4C},Unknown,311.64373534,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,26.67,UG,25.076,NA,NA,NA,NA,NA,NA,1538080,311.6437353410322
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,248,gamaaw,gamaaw,2022-12-21T00:00:00Z,2022-12-21T00:00:00Z,2022-05-01T00:00:00Z,NA,NA,86586-619,1,16.44,17.44,0.4,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\86000_86999\86586-619.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{D0025D23-E533-4F9C-BF33-4A395D3B3E46},Unknown,249.92781499,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,26.39,UG,26.64,NA,NA,NA,NA,NA,NA,1538081,249.92781499374397
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,43,gamaaw,NA,2022-12-21T00:00:00Z,NA,2022-05-01T00:00:00Z,NA,NA,86586-619,1,17.5,17.85,0.81,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\86000_86999\86586-619.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{1B0A4A09-B487-4B20-8717-36C1D3A7916C},Unknown,44.52715027,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,26.64,UG,26.67,NA,NA,NA,NA,NA,NA,1538082,44.52715027483575
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,375,gamaaw,NA,2022-12-21T00:00:00Z,NA,2022-05-01T00:00:00Z,NA,NA,86586-619,1,17.89,19.25,0.36,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\86000_86999\86586-619.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{6A866B43-405B-4945-AD94-42DF16466007},Unknown,373.06972473,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,26.67,UG,27.19,NA,NA,NA,NA,NA,NA,1538083,373.06972473324504
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,161,gamaaw,NA,2022-12-21T00:00:00Z,NA,2022-05-01T00:00:00Z,NA,NA,86586-619,1,19.38,20.08,0.44,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\86000_86999\86586-619.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{15B92A95-711D-4DA2-A5C8-C9529C05FC1C},Unknown,163.25709416,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,27.19,UG,27.7,NA,NA,NA,NA,NA,NA,1538084,163.25709415958104
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,264,gamaaw,gamaaw,2022-12-21T00:00:00Z,2022-12-21T00:00:00Z,2022-05-01T00:00:00Z,NA,NA,86586-619,1,18.6,20.58,0.75,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\86000_86999\86586-619.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{C213E03C-F9CE-487D-991D-5C3871356A60},Unknown,264.48022171,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,26.39,UG,26.84,NA,NA,NA,NA,NA,NA,1538085,264.48022170660926
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,93,gamaaw,gamaaw,2022-12-21T00:00:00Z,2022-12-21T00:00:00Z,2022-05-01T00:00:00Z,NA,NA,86586-619,1,20.66,21.04,0.4,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\86000_86999\86586-619.pdf,NA,NA,NA,NA,WW-005,-999,NA,2130,PLUMMER CREEK,NA,NA,NA,NA,NA,NA,NA,{5C62A4E1-FD78-4884-AB35-FE93795A27F9},Unknown,96.34997699,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,26.84,UG,26.6,NA,NA,NA,NA,NA,NA,1538086,96.34997699179173
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,98,gamaaw,gamaaw,2022-12-21T00:00:00Z,2023-12-12T00:00:00Z,2022-05-01T00:00:00Z,NA,NA,86586-619,1,19.39,19.97,0.59,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\86000_86999\86586-619.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{57010503-94D3-4D3A-940E-6DA3C28D2365},Unknown,84.52908791,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,27.19,UG,25.19,NA,NA,NA,NA,NA,NA,1538087,84.52908791463005
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,165,gamaaw,gamaaw,2022-12-21T00:00:00Z,2022-12-21T00:00:00Z,2022-05-01T00:00:00Z,NA,NA,86586-619,1,18.53,19.22,0.42,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\86000_86999\86586-619.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{6AC66CB4-210A-48EF-A902-67D2A7DD85DE},Unknown,164.53918098,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,26.64,UG,25.55,NA,NA,NA,NA,NA,NA,1538088,164.539180981627
