ANCILLARYROLE,ENABLED,FAC_OWNER,FAC_STATE,PLACED_BY,MODIFIED_BY,DATE_PLACED,DATE_MODIFIED,GPS_X_COORD,GPS_Y_COORD,SYMBOL_ROTATION,DATA_SOURCE,SUBTYPE,MANHOLE_TYPE,DEPTH,MATERIAL,LINING_MATERIAL,RIM_ELEVATION,DATE_LINED,DATE_CLEANED,DROP_TYPE,CAPITAL_PROJECT_NUMBER,DATE_INSTALLED,WBID_NUMBER,WBID_NAME,H2S_RESIDUE_PRESENT,CMMS_ASSET_ID,LARGE_GRID,SMALL_GRID,GPS_LATITUDE,GPS_LONGITUDE,RFID_BARCODE,PI_TAG,GLOBALID,MANUFACTURER,AVAIL_NUM,MANHOLE_SIZE,BASIN_LOWPT,RECEIVING_PUMPSTATION,RECEIVING_PLANT,CF_AS_BUILT,CF_MATERIAL,CF_LINING_MATERIAL,CF_DATE_LINED,CF_DEPTH,CF_RIM_ELEVATION,LINING_MANUFACTURER,MODEL_NODE,EXT_JOINT_TAPE_MANUFACTURER,EXT_JOINT_TAPE_TYPE,MANHOLE_DIMENSIONS,LIDAR_RIM_ELEVATION,LIDAR_SOURCE,GIS_OID,btm
NA,1,JEA,INS,gamaaw,picktn,2022-12-20T00:00:00Z,2023-10-25T00:00:00Z,457324.01,2291892.147,NA,86586-619,1,Junction,14.79,Concrete Block,Spectrashield,23.49,2022-05-01T00:00:00Z,NA,Unknown,-999,2022-05-01T00:00:00Z,2142,UNNAMED SLOUGH,NA,MH-3471067,NA,NA,30.63627684,-81.63224786,NA,NA,{3CBD1938-55F9-4DAE-BF76-DE935D70E529},Other,2020-2433,5,No,LS-004255,WW-005,NA,As Built,As Built,As Built,As Built,As Built,Not Provided,NA,Other,RAMNEK JT SEALANT,NA,NA,NA,811785,8.7
NA,1,JEA,INS,gamaaw,picktn,2022-12-20T00:00:00Z,2023-10-25T00:00:00Z,457274.722,2291897.747,NA,86586-619,1,A,14.13,Concrete Block,Other,23.12,2022-05-01T00:00:00Z,NA,Unknown,-999,2022-05-01T00:00:00Z,2142,UNNAMED SLOUGH,NA,MH-3421097,NA,NA,30.63629148,-81.63240467,NA,NA,{F34D6FAD-E858-4364-A8CB-AFC229A48733},Other,2020-2433,4,Yes,LS-004255,WW-005,NA,As Built,As Built,As Built,As Built,As Built,Not Provided,NA,Other,RAMNEK JT SEALANT,NA,NA,NA,811786,8.99
NA,1,JEA,INS,gamaaw,picktn,2022-12-20T00:00:00Z,2023-10-25T00:00:00Z,457260.405,2291750.659,NA,86586-619,1,A,14.01,Concrete Block,Other,24.15,2022-05-01T00:00:00Z,NA,Unknown,-999,2022-05-01T00:00:00Z,2142,UNNAMED SLOUGH,NA,MH-3471068,NA,NA,30.63588686,-81.63244756,NA,NA,{70EF610B-B47F-4C6A-8BF3-09A1EEB83CB9},Other,2020-2433,4,No,LS-004255,WW-005,NA,As Built,As Built,As Built,As Built,As Built,Not Provided,NA,Other,RAMNEK JT SEALANT,NA,NA,NA,811787,10.139999999999999
NA,1,JEA,INS,gamaaw,picktn,2022-12-20T00:00:00Z,2023-10-25T00:00:00Z,457217.389,2291634.733,NA,86586-619,1,B,14.74,Concrete Block,Other,25.43,2022-05-01T00:00:00Z,NA,Inside,-999,2022-05-01T00:00:00Z,2142,UNNAMED SLOUGH,NA,MH-3471069,NA,NA,30.63556748,-81.63258226,NA,NA,{492511ED-91DE-4E12-BD49-4FD46E0EA3F5},Other,2020-2433,5,No,LS-004255,WW-005,NA,As Built,As Built,As Built,As Built,As Built,Not Provided,NA,Other,RAMNEK JT SEALANT,NA,NA,NA,811788,10.69
NA,1,JEA,INS,gamaaw,picktn,2022-12-20T00:00:00Z,2023-10-25T00:00:00Z,457449.667,2291548.28,NA,86586-619,1,A,12.17,Concrete Block,Other,25.51,2022-05-01T00:00:00Z,NA,Unknown,-999,2022-05-01T00:00:00Z,2142,UNNAMED SLOUGH,NA,MH-3471070,NA,NA,30.63533338,-81.6318422,NA,NA,{16C06749-AA02-4F3A-81E2-00EAC45E1433},Other,2020-2433,4,No,LS-004255,WW-005,NA,As Built,As Built,As Built,As Built,As Built,Not Provided,NA,Other,RAMNEK JT SEALANT,NA,NA,NA,811789,13.340000000000002
NA,1,JEA,INS,gamaaw,picktn,2022-12-20T00:00:00Z,2023-10-25T00:00:00Z,457575.1878,2291531.3449,NA,86586-619,1,B,11.97,Concrete Block,Other,25.73,2022-05-01T00:00:00Z,NA,Inside,-999,2022-05-01T00:00:00Z,2142,UNNAMED SLOUGH,NA,MH-3471071,NA,NA,30.63528876,-81.63144281,NA,NA,{6797C923-DFF5-434E-9580-F627C9F0ADE8},Other,2020-2433,4,No,LS-004255,WW-005,NA,As Built,As Built,As Built,As Built,As Built,Not Provided,NA,Other,RAMNEK JT SEALANT,NA,NA,NA,811790,13.76
NA,1,JEA,INS,gamaaw,picktn,2022-12-20T00:00:00Z,2023-10-25T00:00:00Z,457925.258,2291531.739,NA,86586-619,1,A,10.94,Concrete Block,Other,26.06,2022-05-01T00:00:00Z,NA,Unknown,-999,2022-05-01T00:00:00Z,2142,UNNAMED SLOUGH,NA,MH-3471072,NA,NA,30.63529524,-81.63032978,NA,NA,{8E45D6A6-DDEE-4BF9-91C0-EF6AF36FF457},Other,2020-2433,4,No,LS-004255,WW-005,NA,As Built,As Built,As Built,As Built,As Built,Not Provided,NA,Other,RAMNEK JT SEALANT,NA,NA,NA,811791,15.12
NA,1,JEA,INS,gamaaw,picktn,2022-12-20T00:00:00Z,2023-10-25T00:00:00Z,458248.867,2291526.101,NA,86586-619,1,B,10.03,Concrete Block,Other,26.39,2022-05-01T00:00:00Z,NA,Inside,-999,2022-05-01T00:00:00Z,2142,UNNAMED SLOUGH,NA,MH-3471073,NA,NA,30.63528472,-81.62930079,NA,NA,{EAB12BCF-B67E-4781-A901-9CBC0E32655A},Other,2020-2433,4,No,LS-004255,WW-005,NA,As Built,As Built,As Built,As Built,As Built,Not Provided,NA,Other,RAMNEK JT SEALANT,NA,NA,NA,811792,16.36
NA,1,JEA,INS,gamaaw,picktn,2022-12-20T00:00:00Z,2023-10-25T00:00:00Z,458492.788,2291580.566,NA,86586-619,1,A,9.2,Concrete Block,Other,26.64,2022-05-01T00:00:00Z,NA,Unknown,-999,2022-05-01T00:00:00Z,2142,UNNAMED SLOUGH,NA,MH-3471074,NA,NA,30.63543822,-81.62852622,NA,NA,{46C85BA5-1317-47BD-BC1D-A4E0B423C8CE},Other,2020-2433,4,No,LS-004255,WW-005,NA,As Built,As Built,As Built,As Built,As Built,Not Provided,NA,Other,RAMNEK JT SEALANT,NA,NA,NA,811793,17.44
NA,1,JEA,INS,gamaaw,picktn,2022-12-20T00:00:00Z,2023-10-25T00:00:00Z,458537.242,2291583.115,NA,86586-619,1,A,8.82,Concrete Block,Other,26.67,2022-05-01T00:00:00Z,NA,Unknown,-999,2022-05-01T00:00:00Z,2142,UNNAMED SLOUGH,NA,MH-3471075,NA,NA,30.63544591,-81.62838493,NA,NA,{98597602-A0BA-40F0-BA20-D39CBB38192B},Other,2020-2433,4,No,LS-004255,WW-005,NA,As Built,As Built,As Built,As Built,As Built,Not Provided,NA,Other,RAMNEK JT SEALANT,NA,NA,NA,811794,17.85
