CMMS_ASSET_ID,PI_TAG,BASIN,AREA_FT2,STATION_NAME,TEMPLATE
LS-004352,NORTH:DUR12512,CEDAR BAY,50.27,DURBANS POINT PL - 12512,_cte_leadsp
LS-004358,STJOHNS:REF86,GREENLAND,63.62,REFLECTIONS AVE - 86,_cte_leadsp
LS-004370,STJOHNS:JUN658,BLACKS FORD,63.62,JUNIPER HILLS DR - 658,_cte_leadsp
LS-004384,STJOHNS:GRA157,BLACKS FORD,50.27,GRAND LAKES DR - 157,_cte_leadsp
LS-004399,STJOHNS:SPO10076,BUCKMAN,50.27,SPOTTED SEA DR - 10076,_cte_leadsp
LS-004400,WEST:BUS7094,SOUTHWEST,50.27,BUSTO CIR - 7094,_cte_leadsp
LS-004349,NASSAU:DRI75425,NASSAU,50.26548246,DRIFTWOOD CT - 75425,_cte_leadsp
LS-004355,NASSAU:BLA96736,NASSAU,50.27,BLACKROCK COVE WAY - 96736,_cte_leadsp
LS-001791,STJOHNS:PON216,PONTE VEDRA,63.62,PONTE VEDRA BLVD - 216,_cte_leadsp
LS-004359,NASSAU:STI96382,NASSAU,50.27,STILLPOINT WAY - 96382,_cte_leadsp
LS-004373,NASSAU:DEL1013,NASSAU,50.27,DEL WEBB PKWY - 1013,_cte_leadsp
LS-000719,NORTH:DET4735,BUCKMAN,50.3,DETAILLE DR - 4735,_cte_lead
LS-001184,EAST:KER102-1,ARLINGTON EAST,28.3,KERNAN BLVD N - 102,_cte_leadsp
LS-004149,SOUTH:TOW11178,GREENLAND,50.27,TOWN VIEW DR - 11178,_cte_leadsp
LS-004224,WEST:WAB5343,BUCKMAN,50.3,WABASH BLVD - 5343,_cte_leadsp
LS-004301,NORTH:GRE5812,BUCKMAN,50.3,GRETA CT - 5812,_cte_leadsp
LS-004301,NORTH:GRE5812,BUCKMAN,50.3,GRETA CT - 5812,_cte_leadsp
LS-004347,STJOHNS:WIN14101,MANDARIN,50.27,WIND ROW DR - 14101,_cte_leadsp
