"Selected(x)","Parent","Name","ObjectType","Template","AttributeValue"
"x","WASTEWATER","EST FLOW","Element","",""
"x","WASTEWATER\EST FLOW","ARLINGTON EAST","Element","",""
"x","WASTEWATER\EST FLOW","BLACKS FORD","Element","",""
"x","WASTEWATER\EST FLOW","BUCKMAN","Element","",""
"x","WASTEWATER\EST FLOW","CEDAR BAY","Element","",""
"x","WASTEWATER\EST FLOW","GREENLAND","Element","",""
"x","WASTEWATER\EST FLOW","JCP","Element","",""
"x","WASTEWATER\EST FLOW","MANDARIN","Element","",""
"x","WASTEWATER\EST FLOW","MONTEREY","Element","",""
"x","WASTEWATER\EST FLOW","NASSAU","Element","",""
"x","WASTEWATER\EST FLOW","PONCE DE LEON","Element","",""
"x","WASTEWATER\EST FLOW","PONTE VEDRA","Element","",""
"x","WASTEWATER\EST FLOW","SOUTHWEST","Element","",""
"x","WASTEWATER\EST FLOW",NA,"Element","",""
"x","WASTEWATER\EST FLOW\CEDAR BAY","DURBANS POINT PL - 12512","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\DURBANS POINT PL - 12512","CMMS Asset ID","Attribute","","LS-004352"
"x","WASTEWATER\EST FLOW\CEDAR BAY\DURBANS POINT PL - 12512","PI Tag","Attribute","","NORTH:DUR12512"
"x","WASTEWATER\EST FLOW\CEDAR BAY\DURBANS POINT PL - 12512","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\CEDAR BAY\DURBANS POINT PL - 12512","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\DURBANS POINT PL - 12512","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\GREENLAND","REFLECTIONS AVE - 86","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\GREENLAND\REFLECTIONS AVE - 86","CMMS Asset ID","Attribute","","LS-004358"
"x","WASTEWATER\EST FLOW\GREENLAND\REFLECTIONS AVE - 86","PI Tag","Attribute","","STJOHNS:REF86"
"x","WASTEWATER\EST FLOW\GREENLAND\REFLECTIONS AVE - 86","Wetwell Area","Attribute","","63.62"
"x","WASTEWATER\EST FLOW\GREENLAND\REFLECTIONS AVE - 86","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\GREENLAND\REFLECTIONS AVE - 86","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BLACKS FORD","JUNIPER HILLS DR - 658","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\JUNIPER HILLS DR - 658","CMMS Asset ID","Attribute","","LS-004370"
"x","WASTEWATER\EST FLOW\BLACKS FORD\JUNIPER HILLS DR - 658","PI Tag","Attribute","","STJOHNS:JUN658"
"x","WASTEWATER\EST FLOW\BLACKS FORD\JUNIPER HILLS DR - 658","Wetwell Area","Attribute","","63.62"
"x","WASTEWATER\EST FLOW\BLACKS FORD\JUNIPER HILLS DR - 658","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\JUNIPER HILLS DR - 658","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BLACKS FORD","GRAND LAKES DR - 157","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\GRAND LAKES DR - 157","CMMS Asset ID","Attribute","","LS-004384"
"x","WASTEWATER\EST FLOW\BLACKS FORD\GRAND LAKES DR - 157","PI Tag","Attribute","","STJOHNS:GRA157"
"x","WASTEWATER\EST FLOW\BLACKS FORD\GRAND LAKES DR - 157","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\BLACKS FORD\GRAND LAKES DR - 157","cte","Element","_cte_leadsp",""
